order_id,order_datetime,pickup_area,drop_area,distance_km,estimated_time_min,order_value,festival_flag,delivery_agent_id,traffic_level,weather_condition,delivery_time_min
ORD100000,2023-10-21 03:01:00,Goregaon,Thane,2.19,15,605.78,No,AG22,Medium,Clear,7.1
ORD100001,2023-10-24 08:15:00,Goregaon,Bandra,4.78,15,292.83,No,AG169,Low,Rainy,14.98
ORD100002,2023-10-08 04:47:00,Borivali,Thane,3.79,18,406.79,No,AG248,High,Rainy,16.6
ORD100003,2023-10-04 21:47:00,Kurla,Powai,3.19,15,806.46,No,AG157,Medium,Clear,9.35
ORD100004,2023-10-29 17:05:00,Colaba,Bandra,1.2,20,272.83,No,AG277,High,Clear,9.38
ORD100005,2023-10-19 13:02:00,Andheri,Kurla,1.2,15,674.51,No,AG283,Medium,Foggy,11.45
ORD100006,2023-10-01 02:13:00,Kurla,Goregaon,0.76,20,689.11,No,AG122,Medium,Rainy,8.18
ORD100007,2023-10-08 16:38:00,Andheri,Andheri,4.4,15,958.68,No,AG243,Medium,Clear,11.97
ORD100008,2023-10-01 17:12:00,Thane,Andheri,3.21,20,797.64,No,AG135,Low,Clear,8.69
ORD100009,2023-10-23 20:44:00,Bandra,Andheri,3.69,15,823.27,Yes,AG55,Medium,Rainy,14.72
ORD100010,2023-10-18 13:14:00,Thane,Bandra,0.59,15,578.44,No,AG284,Low,Clear,2.71
ORD100011,2023-10-15 18:17:00,Borivali,Borivali,4.86,12,268.1,No,AG178,High,Clear,16.1
ORD100012,2023-10-26 00:48:00,Thane,Thane,4.25,20,483.01,No,AG213,Medium,Clear,12.2
ORD100013,2023-10-26 05:44:00,Borivali,Thane,1.46,20,594.54,Yes,AG122,High,Rainy,10.49
ORD100014,2023-10-14 10:17:00,Kurla,Kurla,1.32,20,710.58,No,AG8,Medium,Clear,4.59
ORD100015,2023-10-05 06:48:00,Goregaon,Goregaon,1.33,10,646.94,No,AG77,Low,Clear,3.9
ORD100016,2023-10-11 03:05:00,Borivali,Goregaon,1.87,15,454.58,No,AG229,Medium,Rainy,8.97
ORD100017,2023-10-13 03:22:00,Andheri,Goregaon,2.86,20,338.78,No,AG190,Low,Foggy,10.76
ORD100018,2023-10-28 11:38:00,Powai,Thane,2.44,10,251.41,No,AG7,Low,Rainy,9.08
ORD100019,2023-10-09 01:46:00,Andheri,Borivali,1.81,12,724.46,No,AG25,,Clear,3.64
ORD100020,2023-10-15 17:07:00,Andheri,Goregaon,3.25,20,680.86,No,AG1,High,Clear,13.1
ORD100021,2023-10-30 12:05:00,Andheri,Powai,1.13,20,718.64,Yes,AG109,Medium,Clear,3.36
ORD100022,2023-10-18 09:53:00,Borivali,Andheri,1.81,10,435.27,No,AG24,Medium,Clear,6.3
ORD100023,2023-10-21 19:56:00,Goregaon,Borivali,2.15,15,336.17,Yes,AG177,Low,Foggy,7.77
ORD100024,2023-10-28 11:36:00,Thane,Goregaon,2.55,12,783.75,No,AG200,Medium,Rainy,10.78
ORD100025,2023-10-07 22:04:00,Colaba,Powai,4.03,20,796.28,Yes,AG207,Medium,Clear,12.02
ORD100026,2023-10-02 21:14:00,Thane,Kurla,1.4,15,510.05,No,AG53,Medium,Clear,5.06
ORD100027,2023-10-25 09:05:00,Bandra,Goregaon,2.81,12,650.71,No,AG183,Low,Clear,4.6
ORD100028,2023-10-28 07:55:00,Kurla,Andheri,3.17,18,436.17,No,AG105,Medium,Clear,9.11
ORD100029,2023-10-04 12:17:00,Powai,Powai,0.71,18,731.75,No,AG9,Medium,Clear,3.59
ORD100030,2023-10-15 20:53:00,Thane,Bandra,3.23,12,852.15,No,AG184,Low,Clear,7.46
ORD100031,2023-10-12 05:23:00,Colaba,Thane,1.27,10,719.41,Yes,AG199,High,Clear,8.3
ORD100032,2023-10-12 06:42:00,Borivali,Colaba,0.79,12,561.32,No,AG150,Low,Rainy,5.76
ORD100033,2023-10-09 22:59:00,Borivali,Bandra,4.77,12,512.79,No,AG50,Medium,Clear,13.71
ORD100034,2023-10-22 20:04:00,Thane,Bandra,4.85,10,678.09,Yes,AG286,Low,Clear,10.32
ORD100035,2023-10-20 20:10:00,Bandra,Goregaon,4.14,10,711.83,Yes,AG134,Low,Rainy,12.37
ORD100036,2023-10-18 23:15:00,Bandra,Kurla,1.87,15,602.86,Yes,AG290,High,Clear,9.42
ORD100037,2023-10-06 14:24:00,Andheri,Goregaon,0.94,15,662.45,Yes,AG99,High,Clear,8.89
ORD100038,2023-10-09 20:44:00,Powai,Goregaon,3.58,10,186.93,No,AG225,Medium,Clear,10.32
ORD100039,2023-10-18 07:43:00,Borivali,Colaba,2.48,18,956.59,Yes,AG278,High,Rainy,14.48
ORD100040,2023-10-11 01:14:00,Borivali,Powai,1.05,18,811.7,No,AG151,High,Rainy,11.86
ORD100041,2023-10-27 01:51:00,Borivali,Powai,2.73,12,436.54,Yes,AG222,Medium,Rainy,9.52
ORD100042,2023-10-11 12:17:00,Borivali,Goregaon,0.65,20,606.53,Yes,AG230,High,Clear,8.09
ORD100043,2023-10-03 06:58:00,Goregaon,Thane,4.59,12,142.59,No,AG292,Medium,Rainy,15.56
ORD100044,2023-10-31 18:56:00,Thane,Bandra,1.66,12,137.11,No,AG27,Medium,Clear,5.65
ORD100045,2023-10-23 10:13:00,Goregaon,Andheri,3.48,20,325.72,Yes,AG258,Medium,Clear,11.25
ORD100046,2023-10-21 15:25:00,Kurla,Goregaon,1.9,10,720.73,No,AG246,Low,Foggy,9.79
ORD100047,2023-10-29 20:29:00,Bandra,Thane,2.84,18,866.93,Yes,AG10,High,Clear,11.49
ORD100048,2023-10-05 08:08:00,Bandra,Kurla,2.96,12,603.27,Yes,AG61,Low,Foggy,8.85
ORD100049,2023-10-08 23:35:00,Powai,Kurla,1.33,20,578.92,Yes,AG272,High,Rainy,11.6
ORD100050,2023-10-18 08:47:00,Bandra,Colaba,4.86,15,462.08,No,AG242,Medium,Clear,11.72
ORD100051,2023-10-19 13:57:00,Andheri,Goregaon,3.99,12,245.44,No,AG83,Medium,Clear,8.78
ORD100052,2023-10-19 12:23:00,Goregaon,Goregaon,4.73,18,206.52,No,AG213,Low,Clear,11.04
ORD100053,2023-10-08 04:32:00,Goregaon,Bandra,4.53,10,784.61,No,AG18,High,Rainy,19.59
ORD100054,2023-10-16 02:48:00,,Bandra,3.19,12,934.75,No,AG16,Low,Clear,7.29
ORD100055,2023-10-02 03:09:00,Bandra,Kurla,4.65,12,512.45,No,AG58,Medium,Rainy,15.56
ORD100056,2023-10-21 05:50:00,Bandra,Colaba,0.9,20,693.5,No,AG105,Medium,Clear,6.14
ORD100057,2023-10-22 13:38:00,Borivali,Colaba,1.38,15,923.01,No,AG219,Low,Clear,3.94
ORD100058,2023-10-03 12:24:00,Thane,Powai,0.7,15,181.1,Yes,AG191,High,Clear,6.79
ORD100059,2023-10-20 14:33:00,Colaba,Kurla,1.96,10,793.43,No,AG63,Low,Clear,2.69
ORD100060,2023-10-09 17:55:00,Goregaon,Kurla,2.25,18,655.14,No,AG25,Medium,Rainy,11.32
ORD100061,2023-10-31 00:43:00,Powai,Andheri,1.72,10,638.77,No,AG119,Medium,Clear,6.86
ORD100062,2023-10-24 03:43:00,Andheri,Thane,4.23,12,363.29,No,AG139,Low,Clear,10.39
ORD100063,2023-10-29 17:48:00,Powai,Goregaon,2.11,12,715.5,No,AG152,Low,Clear,2.77
ORD100064,2023-10-09 20:21:00,Goregaon,Colaba,1.76,15,815.32,No,AG156,Medium,Clear,8.6
ORD100065,2023-10-04 09:27:00,Kurla,Kurla,2.94,18,201.57,Yes,AG130,High,Clear,11.09
ORD100066,2023-10-06 14:00:00,Thane,Borivali,1.13,20,580.17,No,AG68,Low,Rainy,7.35
ORD100067,2023-10-31 23:56:00,Borivali,Borivali,4.11,18,191.14,No,AG23,Low,Clear,7.32
ORD100068,2023-10-24 08:32:00,Borivali,Andheri,0.84,12,885.32,No,AG202,High,Clear,6.91
ORD100069,2023-10-25 05:32:00,Colaba,Colaba,4.94,20,556.87,No,AG248,Low,Clear,10.34
ORD100070,2023-10-30 03:55:00,Bandra,Kurla,3.98,18,827.17,Yes,AG141,Medium,Clear,9.94
ORD100071,2023-10-21 09:53:00,Kurla,Colaba,1.39,18,431.28,No,AG176,Medium,Clear,4.96
ORD100072,2023-10-21 16:38:00,Bandra,Goregaon,0.52,20,212.57,No,AG217,Low,Clear,3.66
ORD100073,2023-10-07 04:23:00,Colaba,Borivali,4.17,12,137.35,No,AG287,Medium,Clear,11.0
ORD100074,2023-10-25 05:34:00,Kurla,Powai,3.68,18,353.36,No,AG206,High,Clear,15.49
ORD100075,2023-10-31 16:58:00,Andheri,Bandra,3.78,20,319.81,Yes,AG192,Medium,Clear,11.62
ORD100076,2023-10-01 19:20:00,Powai,Kurla,3.97,12,604.32,Yes,AG85,Medium,Rainy,11.94
ORD100077,2023-10-16 00:07:00,Thane,Powai,0.83,20,119.56,No,AG155,Medium,Clear,4.32
ORD100078,2023-10-30 11:56:00,Powai,Kurla,2.11,20,568.51,No,AG20,Medium,Clear,6.83
ORD100079,2023-10-27 09:15:00,,Goregaon,1.02,18,452.59,No,AG194,Low,Clear,2.09
ORD100080,2023-10-02 07:56:00,Andheri,Goregaon,4.38,12,619.41,No,AG73,Medium,Foggy,16.98
ORD100081,2023-10-19 02:05:00,Andheri,Borivali,3.3,18,732.18,Yes,AG65,Medium,Rainy,13.46
ORD100082,2023-10-24 15:52:00,Goregaon,Borivali,1.99,10,670.68,Yes,AG60,Low,Clear,7.14
ORD100083,2023-10-03 17:49:00,Kurla,Kurla,0.79,10,986.18,No,AG166,High,Clear,7.12
ORD100084,2023-10-05 04:42:00,,Thane,1.9,12,224.44,No,AG177,Medium,Rainy,10.24
ORD100085,2023-10-16 17:10:00,Bandra,Goregaon,1.96,20,486.76,No,AG224,High,Clear,9.57
ORD100086,2023-10-09 16:55:00,Powai,Thane,3.78,18,482.35,No,AG245,Low,Foggy,12.16
ORD100087,2023-10-20 13:13:00,Colaba,Goregaon,3.37,18,475.35,No,AG71,,Clear,13.55
ORD100088,2023-10-30 17:48:00,Kurla,Kurla,4.49,12,697.42,Yes,AG162,Medium,Clear,14.18
ORD100089,2023-10-24 22:12:00,Kurla,Colaba,2.62,12,540.85,No,AG218,High,Clear,12.22
